2026-04-14 13:28:25 | INFO     | Aegis Wireless session started
2026-04-14 13:28:45 | INFO     | WiFi scan found 1 network(s)
2026-04-14 13:28:45 | INFO     |   Network: MusicalFamily             Signal:   0%  Encryption: WPA2
2026-04-14 13:29:16 | INFO     | Port scan on 3: 0 open out of 0 scanned
2026-04-14 13:30:35 | INFO     | WiFi scan found 1 network(s)
2026-04-14 13:30:35 | INFO     |   Network: MusicalFamily             Signal:   0%  Encryption: WPA2
2026-04-14 13:30:35 | INFO     | Port scan on 127.0.0.1: 3 open out of 25 scanned
2026-04-14 13:30:35 | INFO     |   Port   135 — MS-RPC (open)
2026-04-14 13:30:35 | INFO     |   Port   445 — SMB (open)
2026-04-14 13:30:35 | INFO     |   Port  3306 — MySQL (open)
2026-04-14 13:30:35 | INFO     | Assessment: MusicalFamily — OK SAFE (Score: 100/100)
2026-04-14 13:30:35 | INFO     | Full audit completed
2026-04-14 13:30:47 | INFO     | Session log saved to C:\Users\fenci\OneDrive\Desktop\Aegis_Wireless\logs\aegis_2026-04-14.json
2026-04-14 15:51:09 | INFO     | Aegis Wireless session started
2026-04-14 15:51:24 | INFO     | Session log saved to C:\Users\fenci\OneDrive\Desktop\Aegis_Wireless\logs\aegis_2026-04-14.json
2026-04-14 15:51:24 | INFO     | Aegis tray mode started
2026-04-14 15:53:11 | INFO     | Aegis Wireless session started
2026-04-14 15:53:19 | INFO     | Session log saved to C:\Users\rylan\Downloads\Aegis_Wireless\logs\aegis_2026-04-14.json
2026-04-14 15:55:18 | INFO     | Aegis Wireless session started
2026-04-14 15:55:26 | INFO     | Session log saved to C:\Users\rylan\Downloads\Aegis_Wireless\logs\aegis_2026-04-14.json
2026-04-14 15:55:26 | INFO     | Aegis tray mode started
2026-04-14 15:55:47 | INFO     | Aegis Wireless session started
2026-04-14 15:55:51 | INFO     | Session log saved to C:\Users\rylan\Downloads\Aegis_Wireless\logs\aegis_2026-04-14.json
2026-04-14 15:55:51 | INFO     | Aegis tray mode started
2026-04-14 15:56:31 | INFO     | Aegis Wireless session started
2026-04-14 15:56:43 | INFO     | Session log saved to C:\Users\rylan\Downloads\Aegis_Wireless\logs\aegis_2026-04-14.json
2026-04-14 15:56:43 | INFO     | Aegis tray mode started
2026-04-14 15:57:55 | INFO     | WiFi scan found 1 network(s)
2026-04-14 15:57:55 | INFO     |   Network: WhiteSky-109Tower         Signal:  89%  Encryption: WPA2
2026-04-14 15:57:55 | INFO     | Assessment: WhiteSky-109Tower — OK SAFE (Score: 100/100)
2026-04-14 15:57:55 | INFO     | Quick scan completed (tray)
2026-04-14 16:01:23 | INFO     | Aegis tray mode started
2026-04-14 16:04:50 | INFO     | Aegis Wireless session started
2026-04-14 16:05:00 | INFO     | Session log saved to C:\Users\rylan\Downloads\Aegis_Wireless\logs\aegis_2026-04-14.json
2026-04-14 16:05:00 | INFO     | Aegis tray mode started
2026-04-14 16:09:26 | INFO     | Aegis Wireless session started
2026-04-14 16:09:30 | INFO     | Session log saved to C:\Users\rylan\Downloads\Aegis_Wireless\logs\aegis_2026-04-14.json
2026-04-14 16:09:30 | INFO     | Aegis tray mode started
2026-04-14 16:10:16 | INFO     | Aegis Wireless session started
2026-04-14 16:10:22 | INFO     | Session log saved to C:\Users\rylan\Downloads\Aegis_Wireless\logs\aegis_2026-04-14.json
2026-04-14 16:10:23 | INFO     | Aegis tray mode started
2026-04-14 16:36:33 | INFO     | Aegis Wireless session started
2026-04-14 16:37:20 | INFO     | Session log saved to C:\Users\rylan\Downloads\Aegis_Wireless\logs\aegis_2026-04-14.json
2026-04-14 16:37:20 | INFO     | Aegis tray mode started
2026-04-14 16:40:02 | INFO     | Aegis Wireless session started
2026-04-14 16:40:07 | INFO     | Session log saved to C:\Users\rylan\Downloads\Aegis_Wireless\logs\aegis_2026-04-14.json
2026-04-14 16:40:07 | INFO     | Aegis tray mode started
2026-04-14 16:43:12 | INFO     | Aegis Wireless session started
2026-04-14 16:45:52 | INFO     | Aegis tray mode started
2026-04-14 16:46:20 | INFO     | Aegis tray mode started
2026-04-14 16:46:55 | INFO     | WiFi scan found 1 network(s)
2026-04-14 16:46:55 | INFO     |   Network: WhiteSky-109Tower         Signal:  88%  Encryption: WPA2
2026-04-14 16:46:55 | INFO     | Assessment: WhiteSky-109Tower — OK SAFE (Score: 100/100)
2026-04-14 16:46:55 | INFO     | Quick scan completed (tray)
2026-04-14 16:51:16 | INFO     | Aegis tray mode started
2026-04-14 16:52:59 | INFO     | Session log saved to C:\Users\rylan\Downloads\Aegis_Wireless\logs\aegis_2026-04-14.json
2026-04-14 16:52:59 | INFO     | Aegis tray mode exited
2026-04-14 16:53:35 | INFO     | Aegis tray mode started
